avalik haldus õppetool,sorg01
haldusjuhtimine õppetool,sorg02
võrdlev poliitika õppetool,sorg03
rahvusvaheline suhe õppetool,sorg04
balti poliitika õppetool,sorg05
rahandus õppetool,mjjv10
ioonkristall füüsika labor,lofy02if
laserspektroskoopia labor,lofy02ls
nanostruktuur füüsika labor,lofy02mt
kiletehnoloogia labor,lofy02kt
röntgenspektroskoopia labor,lofy02rs
füüsikaline optika labor,lofy03ks
nanostruktuur füüsika labor,lofy03mt
lasertehnika labor,lofy03ls
gaaslahenduslabor,lofy03gl
tahkiseteooria labor,lofy04tt
teoreetiline füüsika labor,lofy04tf
väljateooria labor,lofy04st
biofüüsika laboratoorium,lofy05sk
keskkonnafüüsika labor,lofy05kf
atmosfäärifüüsika labor,lofy05af
loodusteaduslik haridus keskus,lolo01
elektron paramagneetiline resonants ja luminofooritehnoloogia töörühm,lofy01ek
juhatus ja sekretariaat,lofy01js
kosmos ja militaartehnoloogia töörühm,lofy01kk
põhiõpe keskus,lofy01pk
õppetöö tugiteenistus,lofy01ot
katsekoda,lokt11
ökoloogia ja keskkonnateadus doktorikool,lolo02
biomeditsiin ja biotehnoloogia doktorikool,lolo03
materjaliteadus ja materjal tehnoloogia doktorikool,lolo04
eripedagoogika osakond,htht07
praktika ja kutseaasta keskus,htht09
haridusuuring ja õppekavaarendus keskus,htht10
kõrgkoolididaktika keskus,htht11
tartu ülikool eetikakeskus,flfi05
majandusteooria õppetool,mjri05
riigimajandus õppetool,mjri06
arhiivindus osakond,flaj02
eesti ajalugu osakond,flaj03
kunstiajalugu osakond,flaj05
uusim aeg osakond,flaj06
üldajalugu osakond,flaj07
kultuur ja kommunikatsiooniteadus keskus ( konsortsium ),flku09
teenindusgrupp,lofy08
raamatupidamine,lofy08rp
raamatukogu,lofy08rk
krüojaam,lofy08kj
töökoda,lofy08tk
kommunikatsiooniosakond,dako
usuteaduskond,us
õigusteaduskond,oi
arstiteaduskond,ar
filosoofiateaduskond,fl
bioloogia - geograafiateaduskond,bg
füüsika - keemiateaduskond,fk
kehakultuuriteaduskond,kk
majandusteaduskond,mj
matemaatika - informaatikateaduskond,mt
teabetalitus,dako01
sotsiaalteaduskond,so
ajakiri universitt tartuensima,dako02
haridusteaduskond,ht
multimeedia talitus,dako03
rektor tegevusvaldkond,re
õppeprorektor tegevusvaldkond,p2
teadusprorektor tegevusvaldkond,p1
avatud ülikool prorektor,p4
administratsioonidirektor vastutusala,da
finantsjuht tegevusvaldkond,df
haldusdirektor vastutusala,dh
haldusprorektor vastutusala,p3
filosoofiateaduskond ( ajalugu ),fa
üleülikooliline kateeder,yk
filosoofiateaduskond,fl1
usuteaduskond dekanaat,usus
uus testament oppetool,usut
vana testament oppetool,usvt
vordleva usuteadus oppetool,usvu
avalik õigus instituut,oiao
eraõigus instituut,oieo
kodanik kaitse oppetsükkel,oikk
koolimatemaatika keskus,mtmm03
kriminoigus ja protsess kateeder,oikp
õigusteaduskond dekanaat,oioi
oigusloome labor,oiol
riigioigusteooria ja ajalugu kateeder,oira
riigi-ja haldusoigus kateeder,oirh
tsiviiloigus ja protsess kateder,oitp
tsiviilkaitse tsükkel,oits
välissuhtlemine oigusprobl . labor,oivl
"arst , stom . ja farm täiend tk",araf
anestesioloogia ja intensiivravi kliinik,arai
anatoomia kateeder,arak
anatoomia instituut,aran
arst ja prov . täienduskeskus,arap
arstiteaduskond dekanaat,arar
att teraapia kateeder,arat
bioloogiline keemia kateeder,arbi
biokeemia instituut,arbk
füüsiline antropoloogia keskus,arca
farmaatsia instituut,arfa
farmakoloogia ja farm.org kateeder,arff
õppetehnika talitus,dhit06
füsioloogia kateeder,arfk
farmaatsia kateeder,arfm
farmakoloogia kateeder,arfo
farmakoloogia instituut,arfr
füsioloogia instituut,arfs
füsioloogia oppelabor,arfy
hospitaalsiseh ja tuberkul . kateeder,arhh
histoloogia ja embrüoloogia kateeder,arhi
hospitaalkirurgia kateeder,arhk
hematoloogia labor,arhl
stomatoloogia kateeder,arhm
hematoloogia-onkoloogia kliinik,arho
hügieen ja tervishoid organiseerimine k,arht
inimene bioloogia ja geneetika kateeder,arig
internatuur ja residentuur osakond,arir
kardioloogia kliinik,arka
kardiovaskulaar-ja torakaalkirurgia kliinik,arkd
kirurgiakliinik,arki
kõrvakliinik,arkr
kopsukliinik,arks
riik ja rahvusvaheline õigus instituut,oirr
lastekliinik,arla
mikrobioloogia instituut,armb
biomeditsiin instituut,armp
mikrobioloogia kateeder,armr
"nakkush , dermat . ja venerol . kateeder",arnd
nahahaigus kliinik,arnh
nakkushaigus kliinik,arnk
neurol . ja neurokirurgia kateeder,arnn
närvikliinik,arnr
naistekliinik,arns
nägemine tervishoid labor,arnt
otorinolar . ja oftamol . kateeder,arok
õendusteadus osakond,arot
op-kirurgia ja uroloogia kateeder,arou
patoloogiline anatoomia ja kohtuarstiteadus instituut,arpa
pediaatria kateeder,arpd
patoloogiline füsioloogia kateeder,arpf
psühhiaatria kateeder,arph
patol . anat . ja kohtuarst kateeder,arpk
peremeditsiin kliinik,arpo
arendusosakond,p2pc11
psühhiaatriakliinik,arps
radioloogia ja onkoloogia kateeder,arra
radioloogiakliinik,arrd
ravim tehnol . ja keemia kateeder,arrt
ravimtaim oppelabor,arrv
sünnitusabi ja günekoloog kateeder,arsg
silmakliinik,arsi
sisekliinik,arsk
spordimeditsiin ja taastusravi kliinik,arsm
sisehaigus propedeutika kateeder,arsp
spordimeditsiin ja ravikehakultuur kat,arsr
stomatoloogia kliinik,arst
teaduskonnakirurgia kateeder,arta
tervishoid instituut,arth
arstiteaduskond täienduskeskus,artk
traumatoloogia ja ortopeedia kliinik,arto
trauma . ortop . ja valik . kateeder,artr
teaduskonnasisehaigus kateeder,arts
vivaarium,arvi
"üldkirurgia , anest ja rean . kateeder",aryk
euraasia keel lektoraat,flke05
ajalugu ja arheoloogia instituut,flaj
ajalugu ja semiootika labor,flal
arheoloogia labor,flar
didaktika labor,fldl
eesti ja üldkeeleteadus instituut,flee
eesti keel kateeder,flek
eesti keel labor,flel
eripedagoogika labor,flep
eripedagoogika osakond,fler
tartu ülikool eetikakeskus,flet
filosoofia ja semiootika instituut,flfi
filosoofiateaduskond dekanaat,flfl
fennougristika labor,flfu
"germaani , romaani ja slaavi filoloogia instituut",flgr
inglise filoloogia kateeder,flif
keelekeskus,flke
praktiline eesti keel kateeder,flkf
kultuurikeskus,flkk
klassikaline ja romaan filo . kateeder,flkl
kirjandus ja rahvaluule osakond,flkn
õppimine ja õpetamine arenduskeskus,p2av06
koolipsühholoogia labor,flkp
kultuuriteadus ja kunst instituut,flku
lõuna-eesti keel ja kultuuriuuring keskus,flle
maailmakirjandus kateeder,flmk
orientalistikakesk aeg . osakond,floa
pedagoogika keskus,flpe
pedagoogika osakond,flpk
psühhodiagnostika labor,flpl
psühhomeetria ja psühhofüüsika labor,flpp
psühholoogia osakond,flps
eesti kirjandus ja rahvaluule kateeder,flrl
rakenduspsühholoogia labor,flrp
semiootika osakond,flse
saksa filoloogia kateeder,flsf
sotsioloogia osakond,flso
soome-ugri keel kateeder,flsu
zurnalistikk osakond,flzo
zurnalistikk kateeder,flzu
tartu l areng kompleksuur . labor,flta
vene ja slaavi filoloogia osakond,flve
